SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712681731.647900, , , , , , , , , 
1712681731.678571, , , , , , , , , 
1712681731.708548, , , , , , , , , 
1712681731.738836, , , , , , -0.014006, , , 
1712681731.769135, , , , , , -0.009144, , , 
1712681731.799235, , , , , , -0.004280, , , 
1712681731.829774, , , , , , -0.000854, , , 
1712681731.860038, , , , , , 0.002060, , , 
1712681731.890284, , , , , , 0.001301, , , 
1712681731.920751, , , , , , 0.002626, , , 
1712681731.950877, , , , , , 0.008553, , , 
1712681731.981146, , , , , , 0.016038, , , 
1712681732.011554, , , , , , 0.028732, , , 
1712681732.041605, , , , , , 0.042270, , , 
1712681732.072157, , , , , , 0.073105, , , 
1712681732.102580, , , , , , 0.098484, , , 
1712681732.132855, , , , , , 0.078358, , , 
1712681732.163117, , , , , , 0.047313, , , 
1712681732.193347, , , , , , 0.025589, , , 
1712681732.223701, , , , , , 0.007864, , , 
1712681732.253955, , , , , , 0.001575, , , 
1712681732.284259, , , , , , 0.013226, , , 
1712681732.314561, , , , , , 0.054160, , , 
1712681732.344865, , , , , , 0.095607, , , 
1712681732.375171, , , , , , 0.109109, , , 
1712681732.405473, , , , , , 0.080621, , , 
1712681732.435772, , , , , , 0.038373, , , 
1712681732.466193, , , , , , 0.007035, , , 
1712681732.496497, , , , , , -0.015522, , , 
1712681732.526675, , , , , , -0.050213, , , 
1712681732.556984, , , , , , -0.077818, , , 
1712681732.587301, , , , , , -0.106363, , , 
1712681732.617640, , , , , , -0.136562, , , 
1712681732.647993, , , , , , -0.171485, , , 
1712681732.678196, , , , , , -0.195392, , , 
1712681732.708490, , , , , , -0.227907, , , 
1712681732.738790, , , , , , -0.229987, , , 
1712681732.769095, , , , , , -0.194913, , , 
1712681732.799423, , , , , , -0.140099, , , 
1712681732.829741, , , , , , -0.054750, , , 
1712681732.860054, , , , , , 0.093998, , , 
1712681732.890303, , , , , , 0.319338, , , 
1712681732.920603, , , , , , 0.646869, , , 
1712681732.950916, , , , , , 1.068562, , , 
1712681732.981319, , , , , , 1.422231, , , 
1712681733.011611, , , , , , 1.778246, , , 
1712681733.041921, , , , , , 2.166605, , , 
1712681733.072034, , , , , , 2.599123, , , 
1712681733.101994, , , , , , 3.086161, , , 
1712681733.132061, , , , , , 3.650095, , , 
1712681733.163020, , , , , , 4.292941, , , 
1712681733.193414, , , , , , 4.987338, , , 
1712681733.223691, , , , , , 6.240213, , , 
1712681733.253933, , , , , , 7.388338, , , 
1712681733.284228, , , , , , 8.754161, , , 
1712681733.314535, , , , , , 10.446073, , , 
1712681733.344833, , , , , , 11.993825, , , 
1712681733.375149, , , , , , 12.433012, , , 
1712681733.405771, , , , , , 12.545785, , , 
1712681733.436206, , , , , , 12.598641, , , 
1712681733.466101, , , , , , 12.562533, , , 
1712681733.496457, , , , , , 12.485155, , , 
1712681733.526650, , , , , , 12.352426, , , 
1712681733.556949, , , , , , 12.172833, , , 
1712681733.587255, , , , , , 11.971285, , , 
1712681733.617407, , , , , , 11.779484, , , 
1712681733.648113, , , , , , 11.620094, , , 
1712681733.678095, , , , , , 11.517365, , , 
1712681733.708416, , , , , , 11.474107, , , 
1712681733.738764, , , , , , 11.487983, , , 
1712681733.769067, , , , , , 11.558236, , , 
1712681733.799368, , , , , , 11.693666, , , 
1712681733.829439, , , , , , 11.862183, , , 
1712681733.859922, , , , , , 12.046853, , , 
1712681733.890291, , , , , , 12.221534, , , 
1712681733.920789, , , , , , 12.362953, , , 
1712681733.951046, , , , , , 12.443147, , , 
1712681733.981188, , , , , , 12.450323, , , 
1712681734.011281, , , , , , 12.397000, , , 
1712681734.042044, , , , , , 12.291445, , , 
1712681734.072053, , , , , , 12.124596, , , 
1712681734.101612, , , , , , 11.933976, , , 
1712681734.132048, , , , , , 11.730635, , , 
1712681734.162991, , , , , , 11.559072, , , 
1712681734.193398, , , , , , 11.425878, , , 
1712681734.223687, , , , , , 11.331282, , , 
1712681734.253951, , , , , , 11.336812, , , 
1712681734.284199, , , , , , 11.393525, , , 
1712681734.314524, , , , , , 11.515294, , , 
1712681734.344806, , , , , , 11.672955, , , 
1712681734.375108, , , , , , 11.860999, , , 
1712681734.404459, , , , , , 12.042043, , , 
1712681734.435793, , , , , , 12.193937, , , 
1712681734.466017, , , , , , 12.293608, , , 
1712681734.496658, , , , , , 12.329945, , , 
1712681734.526745, , , , , , 12.299492, , , 
1712681734.556921, , , , , , 12.209043, , , 
1712681734.587244, , , , , , 12.067833, , , 
1712681734.617521, , , , , , 11.879978, , , 
1712681734.647939, , , , , , 11.675441, , , 
1712681734.678128, , , , , , 11.492460, , , 
1712681734.708435, , , , , , 11.336800, , , 
1712681734.738729, , , , , , 11.234735, , , 
1712681734.769038, , , , , , 11.191161, , , 
1712681734.799335, , , , , , 11.210526, , , 
1712681734.829671, , , , , , 11.281943, , , 
1712681734.859973, , , , , , 11.412779, , , 
1712681734.890258, , , , , , 11.576884, , , 
1712681734.920512, , , , , , 11.761954, , , 
1712681734.950894, , , , , , 11.942351, , , 
1712681734.981233, , , , , , 12.087775, , , 
1712681735.011221, , , , , , 12.178593, , , 
1712681735.041905, , , , , , 12.206857, , , 
1712681735.072217, , , , , , 12.167402, , , 
1712681735.102315, , , , , , 12.071089, , , 
1712681735.132658, , , , , , 11.925979, , , 
1712681735.162986, , , , , , 11.734316, , , 
1712681735.193365, , , , , , 11.535674, , , 
1712681735.223554, , , , , , 11.349607, , , 
1712681735.253953, , , , , , 11.161375, , , 
1712681735.284169, , , , , , 11.080682, , , 
1712681735.314473, , , , , , 11.058228, , , 
1712681735.344773, , , , , , 11.099001, , , 
1712681735.375075, , , , , , 11.193301, , , 
1712681735.405406, , , , , , 11.335773, , , 
1712681735.435682, , , , , , 11.514202, , , 
1712681735.465982, , , , , , 11.695499, , , 
1712681735.496311, , , , , , 11.871394, , , 
1712681735.526627, , , , , , 12.002995, , , 
1712681735.557319, , , , , , 12.072691, , , 
1712681735.587152, , , , , , 12.083725, , , 
1712681735.617447, , , , , , 12.032980, , , 
1712681735.647793, , , , , , 11.917569, , , 
1712681735.678096, , , , , , 11.755036, , , 
1712681735.707785, , , , , , 11.559849, , , 
1712681735.738701, , , , , , 11.368329, , , 
1712681735.769032, , , , , , 11.184187, , , 
1712681735.799313, , , , , , 11.044988, , , 
1712681735.829608, , , , , , 10.958336, , , 
1712681735.859909, , , , , , 10.928437, , , 
1712681735.890211, , , , , , 10.956460, , , 
1712681735.920514, , , , , , 11.040884, , , 
1712681735.950815, , , , , , 11.178632, , , 
1712681735.981124, , , , , , 11.350976, , , 
1712681736.011528, , , , , , 11.531308, , , 
1712681736.041804, , , , , , 11.709280, , , 
1712681736.072262, , , , , , 11.852946, , , 
1712681736.102754, , , , , , 11.943016, , , 
1712681736.132738, , , , , , 11.970343, , , 
1712681736.163018, , , , , , 11.930405, , , 
1712681736.193235, , , , , , 11.836475, , , 
1712681736.223658, , , , , , 11.682937, , , 
1712681736.253827, , , , , , 11.501324, , , 
1712681736.284144, , , , , , 11.235334, , , 
1712681736.314438, , , , , , 11.057768, , , 
1712681736.344747, , , , , , 10.921165, , , 
1712681736.375095, , , , , , 10.829432, , , 
1712681736.405350, , , , , , 10.798072, , , 
1712681736.435654, , , , , , 10.827395, , , 
1712681736.465952, , , , , , 10.908688, , , 
1712681736.496257, , , , , , 11.045058, , , 
