SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712681963.438100, , , , , , , , , 
1712681963.468421, , , , , , , , , 
1712681963.498794, , , , , , , , , 
1712681963.529043, , , , , , -0.008459, , , 
1712681963.559289, , , , , , -0.016134, , , 
1712681963.589592, , , , , , -0.023920, , , 
1712681963.619926, , , , , , -0.023155, , , 
1712681963.650338, , , , , , -0.014769, , , 
1712681963.680574, , , , , , -0.010753, , , 
1712681963.710874, , , , , , -0.010366, , , 
1712681963.741184, , , , , , -0.010821, , , 
1712681963.771480, , , , , , 0.001395, , , 
1712681963.801748, , , , , , 0.013441, , , 
1712681963.832082, , , , , , 0.019773, , , 
1712681963.862384, , , , , , 0.015472, , , 
1712681963.892716, , , , , , 0.011407, , , 
1712681963.922986, , , , , , 0.003644, , , 
1712681963.953284, , , , , , -0.002913, , , 
1712681963.983590, , , , , , -0.003093, , , 
1712681964.013888, , , , , , 0.004457, , , 
1712681964.044192, , , , , , 0.019863, , , 
1712681964.074492, , , , , , 0.027309, , , 
1712681964.104798, , , , , , 0.024856, , , 
1712681964.135111, , , , , , 0.019149, , , 
1712681964.165294, , , , , , 0.013379, , , 
1712681964.195783, , , , , , 0.010151, , , 
1712681964.226013, , , , , , 0.028802, , , 
1712681964.255503, , , , , , 0.051200, , , 
1712681964.286684, , , , , , 0.075126, , , 
1712681964.316910, , , , , , 0.108472, , , 
1712681964.347208, , , , , , 0.113146, , , 
1712681964.377566, , , , , , 0.094712, , , 
1712681964.407822, , , , , , 0.063951, , , 
1712681964.438180, , , , , , 0.025609, , , 
1712681964.468426, , , , , , 0.005092, , , 
1712681964.498735, , , , , , 0.014026, , , 
1712681964.529047, , , , , , 0.030018, , , 
1712681964.559447, , , , , , 0.049982, , , 
1712681964.589678, , , , , , 0.078643, , , 
1712681964.620091, , , , , , 0.109810, , , 
1712681964.650233, , , , , , 0.145013, , , 
1712681964.680532, , , , , , 0.153934, , , 
1712681964.710836, , , , , , 0.116502, , , 
1712681964.741121, , , , , , 0.080177, , , 
1712681964.771447, , , , , , 0.048583, , , 
1712681964.801741, , , , , , 0.034141, , , 
1712681964.832060, , , , , , 0.064673, , , 
1712681964.862380, , , , , , 0.138859, , , 
1712681964.892708, , , , , , 0.258845, , , 
1712681964.922932, , , , , , 0.399936, , , 
1712681964.953257, , , , , , 0.547171, , , 
1712681964.983431, , , , , , 0.722058, , , 
1712681965.013861, , , , , , 0.952492, , , 
1712681965.044158, , , , , , 1.212418, , , 
1712681965.074460, , , , , , 1.478921, , , 
1712681965.104762, , , , , , 1.769301, , , 
1712681965.135151, , , , , , 2.116100, , , 
1712681965.165478, , , , , , 2.510752, , , 
1712681965.195815, , , , , , 2.916620, , , 
1712681965.225988, , , , , , 3.387592, , , 
1712681965.255640, , , , , , 3.957955, , , 
1712681965.286683, , , , , , 4.613647, , , 
1712681965.316957, , , , , , 5.686077, , , 
1712681965.347180, , , , , , 6.577570, , , 
1712681965.377483, , , , , , 7.564683, , , 
1712681965.407821, , , , , , 8.755350, , , 
1712681965.438087, , , , , , 10.194569, , , 
1712681965.468387, , , , , , 11.406033, , , 
1712681965.498838, , , , , , 11.810636, , , 
1712681965.528999, , , , , , 11.907286, , , 
1712681965.559295, , , , , , 11.927001, , , 
1712681965.589558, , , , , , 11.866935, , , 
1712681965.619900, , , , , , 11.763128, , , 
1712681965.650302, , , , , , 11.623423, , , 
1712681965.680502, , , , , , 11.425436, , , 
1712681965.710809, , , , , , 11.221630, , , 
1712681965.741130, , , , , , 11.035582, , , 
1712681965.771416, , , , , , 10.894689, , , 
1712681965.801719, , , , , , 10.783310, , , 
1712681965.832015, , , , , , 10.736216, , , 
1712681965.862342, , , , , , 10.753078, , , 
1712681965.892649, , , , , , 10.815999, , , 
1712681965.922923, , , , , , 10.933535, , , 
1712681965.953223, , , , , , 11.098991, , , 
1712681965.983593, , , , , , 11.281040, , , 
1712681966.013828, , , , , , 11.462279, , , 
1712681966.043854, , , , , , 11.615697, , , 
1712681966.074432, , , , , , 11.735878, , , 
1712681966.104738, , , , , , 11.783498, , , 
1712681966.135125, , , , , , 11.774503, , , 
1712681966.165423, , , , , , 11.703514, , , 
1712681966.195733, , , , , , 11.573713, , , 
1712681966.225148, , , , , , 11.408849, , , 
1712681966.255437, , , , , , 11.200442, , , 
1712681966.285867, , , , , , 11.021461, , , 
1712681966.315959, , , , , , 10.840813, , , 
1712681966.347118, , , , , , 10.668945, , , 
1712681966.377458, , , , , , 10.603862, , , 
1712681966.407754, , , , , , 10.597387, , , 
1712681966.438057, , , , , , 10.646276, , , 
1712681966.468361, , , , , , 10.748426, , , 
1712681966.498684, , , , , , 10.898925, , , 
1712681966.529070, , , , , , 11.073447, , , 
1712681966.559288, , , , , , 11.256574, , , 
1712681966.589574, , , , , , 11.428123, , , 
1712681966.619973, , , , , , 11.565337, , , 
1712681966.650172, , , , , , 11.641219, , , 
1712681966.680522, , , , , , 11.661430, , , 
1712681966.710764, , , , , , 11.613688, , , 
1712681966.741398, , , , , , 11.514443, , , 
1712681966.771469, , , , , , 11.363091, , , 
1712681966.801684, , , , , , 11.172402, , , 
1712681966.831985, , , , , , 10.979766, , , 
1712681966.862285, , , , , , 10.790643, , , 
1712681966.892587, , , , , , 10.630874, , , 
1712681966.922895, , , , , , 10.520760, , , 
1712681966.953201, , , , , , 10.463815, , , 
1712681966.983499, , , , , , 10.464108, , , 
1712681967.013771, , , , , , 10.517495, , , 
1712681967.044100, , , , , , 10.626735, , , 
1712681967.074403, , , , , , 10.778411, , , 
1712681967.104704, , , , , , 10.956544, , , 
1712681967.134982, , , , , , 11.141142, , , 
1712681967.165431, , , , , , 11.310442, , , 
1712681967.194996, , , , , , 11.445702, , , 
1712681967.225025, , , , , , 11.524253, , , 
1712681967.256314, , , , , , 11.539068, , , 
1712681967.286460, , , , , , 11.496547, , , 
1712681967.317488, , , , , , 11.390919, , , 
1712681967.347237, , , , , , 11.184772, , , 
1712681967.377432, , , , , , 10.990737, , , 
1712681967.407732, , , , , , 10.795294, , , 
1712681967.438057, , , , , , 10.617608, , , 
1712681967.468371, , , , , , 10.466988, , , 
1712681967.498662, , , , , , 10.369755, , , 
1712681967.528935, , , , , , 10.326013, , , 
1712681967.559232, , , , , , 10.332708, , , 
1712681967.589540, , , , , , 10.406587, , , 
1712681967.619908, , , , , , 10.524033, , , 
1712681967.650139, , , , , , 10.681578, , , 
1712681967.679616, , , , , , 10.859864, , , 
1712681967.710746, , , , , , 11.043069, , , 
1712681967.741119, , , , , , 11.215475, , , 
1712681967.771639, , , , , , 11.334792, , , 
