SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712682281.689043, , , , , , , , , 
1712682281.719353, , , , , , , , , 
1712682281.749713, , , , , , , , , 
1712682281.780005, , , , , , 0.077924, , , 
1712682281.810307, , , , , , 0.081431, , , 
1712682281.840605, , , , , , 0.079012, , , 
1712682281.870912, , , , , , 0.074424, , , 
1712682281.901219, , , , , , 0.075088, , , 
1712682281.931550, , , , , , 0.083111, , , 
1712682281.961593, , , , , , 0.094024, , , 
1712682281.992234, , , , , , 0.109883, , , 
1712682282.021741, , , , , , 0.136851, , , 
1712682282.052906, , , , , , 0.155568, , , 
1712682282.083120, , , , , , 0.168154, , , 
1712682282.113326, , , , , , 0.195322, , , 
1712682282.143736, , , , , , 0.229525, , , 
1712682282.173948, , , , , , 0.253532, , , 
1712682282.204308, , , , , , 0.254550, , , 
1712682282.234585, , , , , , 0.203771, , , 
1712682282.264840, , , , , , 0.157365, , , 
1712682282.295135, , , , , , 0.149491, , , 
1712682282.325436, , , , , , 0.109199, , , 
1712682282.355737, , , , , , 0.035327, , , 
1712682282.386045, , , , , , -0.006845, , , 
1712682282.416343, , , , , , -0.040661, , , 
1712682282.446645, , , , , , -0.061640, , , 
1712682282.476972, , , , , , -0.134763, , , 
1712682282.507346, , , , , , -0.238890, , , 
1712682282.537552, , , , , , -0.279888, , , 
1712682282.567912, , , , , , -0.314788, , , 
1712682282.598081, , , , , , -0.366324, , , 
1712682282.628109, , , , , , -0.395635, , , 
1712682282.658672, , , , , , -0.394038, , , 
1712682282.689026, , , , , , -0.380181, , , 
1712682282.719282, , , , , , -0.376868, , , 
1712682282.749584, , , , , , -0.367636, , , 
1712682282.779899, , , , , , -0.379536, , , 
1712682282.810213, , , , , , -0.403480, , , 
1712682282.840533, , , , , , -0.389703, , , 
1712682282.870932, , , , , , -0.325051, , , 
1712682282.901239, , , , , , -0.217215, , , 
1712682282.931485, , , , , , -0.105357, , , 
1712682282.961791, , , , , , 0.012632, , , 
1712682282.992219, , , , , , 0.246727, , , 
1712682283.022391, , , , , , 0.575649, , , 
1712682283.052694, , , , , , 0.951666, , , 
1712682283.083088, , , , , , 1.374706, , , 
1712682283.113406, , , , , , 1.828071, , , 
1712682283.143602, , , , , , 2.381042, , , 
1712682283.173901, , , , , , 2.928442, , , 
1712682283.204348, , , , , , 3.465777, , , 
1712682283.234509, , , , , , 3.996058, , , 
1712682283.264810, , , , , , 4.692567, , , 
1712682283.295114, , , , , , 5.238720, , , 
1712682283.325417, , , , , , 5.904759, , , 
1712682283.355718, , , , , , 6.885275, , , 
1712682283.386007, , , , , , 8.341193, , , 
1712682283.416320, , , , , , 10.377995, , , 
1712682283.446623, , , , , , 12.195699, , , 
1712682283.476906, , , , , , 13.648235, , , 
1712682283.507231, , , , , , 13.919867, , , 
1712682283.537641, , , , , , 13.952367, , , 
1712682283.567818, , , , , , 13.923789, , , 
1712682283.598145, , , , , , 13.884887, , , 
1712682283.628430, , , , , , 13.721286, , , 
1712682283.659111, , , , , , 13.501971, , , 
1712682283.689161, , , , , , 13.311006, , , 
1712682283.719319, , , , , , 13.139253, , , 
1712682283.749571, , , , , , 13.011572, , , 
1712682283.779867, , , , , , 12.966677, , , 
1712682283.810171, , , , , , 12.988142, , , 
1712682283.840469, , , , , , 13.064077, , , 
1712682283.870783, , , , , , 13.190660, , , 
