SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712678954.397262, , , , , , -10.007692, , , 
1712678954.426735, , , , , , -10.123537, , , 
1712678954.456895, , , , , , -10.156588, , , 
1712678954.487180, , , , , , -10.093625, , , 
1712678954.517477, , , , , , -10.008995, , , 
1712678954.547780, , , , , , -9.876524, , , 
1712678954.578086, , , , , , -9.699665, , , 
1712678954.608386, , , , , , -9.519176, , , 
1712678954.637858, , , , , , -9.324669, , , 
1712678954.668994, , , , , , -9.133315, , , 
1712678954.699292, , , , , , -8.964962, , , 
1712678954.729624, , , , , , -8.842915, , , 
1712678954.760009, , , , , , -8.765041, , , 
1712678954.790222, , , , , , -8.721786, , , 
1712678954.820504, , , , , , -8.727253, , , 
1712678954.850803, , , , , , -8.790406, , , 
1712678954.881104, , , , , , -8.897491, , , 
1712678954.911500, , , , , , -9.040152, , , 
1712678954.941558, , , , , , -9.212539, , , 
1712678954.971569, , , , , , -9.394125, , , 
1712678955.001477, , , , , , -9.573664, , , 
1712678955.032575, , , , , , -9.738267, , , 
1712678955.062071, , , , , , -9.875301, , , 
1712678955.092346, , , , , , -9.972966, , , 
1712678955.123793, , , , , , -10.015734, , , 
1712678955.154052, , , , , , -9.998683, , , 
1712678955.184190, , , , , , -9.932087, , , 
1712678955.214427, , , , , , -9.810610, , , 
1712678955.244733, , , , , , -9.589661, , , 
1712678955.275036, , , , , , -9.401528, , , 
1712678955.305341, , , , , , -9.203369, , , 
1712678955.335637, , , , , , -9.017163, , , 
1712678955.365941, , , , , , -8.855617, , , 
1712678955.396353, , , , , , -8.722809, , , 
1712678955.426514, , , , , , -8.634134, , , 
1712678955.456854, , , , , , -8.587487, , , 
1712678955.487152, , , , , , -8.596492, , , 
1712678955.517484, , , , , , -8.648223, , , 
1712678955.547761, , , , , , -8.749784, , , 
1712678955.578061, , , , , , -8.887216, , , 
1712678955.608377, , , , , , -9.056590, , , 
1712678955.638666, , , , , , -9.234105, , , 
1712678955.668268, , , , , , -9.417820, , , 
1712678955.699273, , , , , , -9.590723, , , 
1712678955.729575, , , , , , -9.733738, , , 
1712678955.759874, , , , , , -9.841101, , , 
1712678955.790176, , , , , , -9.901865, , , 
1712678955.820621, , , , , , -9.901280, , , 
1712678955.850934, , , , , , -9.848770, , , 
1712678955.881086, , , , , , -9.739648, , , 
1712678955.911385, , , , , , -9.589358, , , 
1712678955.941796, , , , , , -9.410998, , , 
1712678955.972080, , , , , , -9.218443, , , 
1712678956.002290, , , , , , -9.026222, , , 
1712678956.032685, , , , , , -8.845928, , , 
1712678956.062086, , , , , , -8.692178, , , 
1712678956.092312, , , , , , -8.572737, , , 
1712678956.123500, , , , , , -8.494500, , , 
1712678956.153767, , , , , , -8.462756, , , 
