SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712681477.944314, , , , , , , , , 
1712681477.974687, , , , , , , , , 
1712681478.004945, , , , , , , , , 
1712681478.035272, , , , , , -0.068449, , , 
1712681478.065604, , , , , , -0.059174, , , 
1712681478.095081, , , , , , -0.039597, , , 
1712681478.126122, , , , , , -0.014652, , , 
1712681478.156483, , , , , , 0.011000, , , 
1712681478.186808, , , , , , 0.023971, , , 
1712681478.217039, , , , , , 0.033860, , , 
1712681478.247417, , , , , , 0.051670, , , 
1712681478.277665, , , , , , 0.040387, , , 
1712681478.307963, , , , , , 0.039779, , , 
1712681478.337926, , , , , , 0.036060, , , 
1712681478.368559, , , , , , 0.043000, , , 
1712681478.397853, , , , , , 0.036738, , , 
1712681478.429158, , , , , , 0.051909, , , 
1712681478.459519, , , , , , 0.091247, , , 
1712681478.489178, , , , , , 0.141076, , , 
1712681478.520140, , , , , , 0.181788, , , 
1712681478.550434, , , , , , 0.202129, , , 
1712681478.580731, , , , , , 0.204498, , , 
1712681478.611115, , , , , , 0.203099, , , 
1712681478.641619, , , , , , 0.205678, , , 
1712681478.671629, , , , , , 0.214994, , , 
1712681478.701944, , , , , , 0.232204, , , 
1712681478.732224, , , , , , 0.250799, , , 
1712681478.761952, , , , , , 0.264599, , , 
1712681478.792765, , , , , , 0.275725, , , 
1712681478.823062, , , , , , 0.285884, , , 
1712681478.853438, , , , , , 0.290630, , , 
1712681478.883736, , , , , , 0.289990, , , 
1712681478.914044, , , , , , 0.282654, , , 
1712681478.944300, , , , , , 0.287229, , , 
1712681478.974584, , , , , , 0.306987, , , 
1712681479.004944, , , , , , 0.298470, , , 
1712681479.035187, , , , , , 0.262304, , , 
1712681479.065550, , , , , , 0.241005, , , 
1712681479.095788, , , , , , 0.266051, , , 
1712681479.126071, , , , , , 0.259565, , , 
1712681479.156376, , , , , , 0.253540, , , 
1712681479.185776, , , , , , 0.240477, , , 
1712681479.217004, , , , , , 0.201195, , , 
1712681479.247306, , , , , , 0.172541, , , 
1712681479.277644, , , , , , 0.170600, , , 
1712681479.307950, , , , , , 0.181654, , , 
1712681479.338221, , , , , , 0.207053, , , 
1712681479.367983, , , , , , 0.215644, , , 
1712681479.399013, , , , , , 0.205415, , , 
1712681479.428594, , , , , , 0.217869, , , 
1712681479.458806, , , , , , 0.252388, , , 
1712681479.489943, , , , , , 0.294645, , , 
1712681479.520244, , , , , , 0.306527, , , 
1712681479.550413, , , , , , 0.307239, , , 
1712681479.580718, , , , , , 0.322902, , , 
1712681479.611122, , , , , , 0.346010, , , 
1712681479.641593, , , , , , 0.383915, , , 
1712681479.671687, , , , , , 0.446577, , , 
1712681479.701914, , , , , , 0.489273, , , 
1712681479.732217, , , , , , 0.393926, , , 
1712681479.762524, , , , , , 0.226401, , , 
1712681479.792818, , , , , , -0.024405, , , 
1712681479.823123, , , , , , -0.313962, , , 
1712681479.853471, , , , , , -0.712012, , , 
1712681479.883732, , , , , , -1.255997, , , 
1712681479.913938, , , , , , -1.964753, , , 
1712681479.944295, , , , , , -2.777361, , , 
1712681479.974634, , , , , , -3.691589, , , 
1712681480.004937, , , , , , -4.614880, , , 
1712681480.035241, , , , , , -5.568652, , , 
1712681480.065547, , , , , , -6.510454, , , 
1712681480.095814, , , , , , -7.781888, , , 
1712681480.126070, , , , , , -9.189095, , , 
1712681480.156383, , , , , , -10.579257, , , 
1712681480.186760, , , , , , -11.553854, , , 
1712681480.216924, , , , , , -11.732860, , , 
1712681480.247273, , , , , , -11.880198, , , 
1712681480.277588, , , , , , -11.997590, , , 
1712681480.307881, , , , , , -12.153629, , , 
1712681480.338188, , , , , , -12.189845, , , 
1712681480.368521, , , , , , -12.136468, , , 
1712681480.398867, , , , , , -12.025288, , , 
1712681480.428779, , , , , , -11.868937, , , 
1712681480.459557, , , , , , -11.673456, , , 
1712681480.489829, , , , , , -11.478779, , , 
1712681480.520075, , , , , , -11.302168, , , 
1712681480.550597, , , , , , -11.157517, , , 
1712681480.580677, , , , , , -11.035460, , , 
1712681480.610981, , , , , , -10.988420, , , 
1712681480.641422, , , , , , -11.010752, , , 
1712681480.671625, , , , , , -11.087612, , , 
1712681480.701887, , , , , , -11.277297, , , 
1712681480.732271, , , , , , -11.455347, , , 
1712681480.762491, , , , , , -11.632154, , , 
1712681480.792838, , , , , , -11.795917, , , 
1712681480.823236, , , , , , -11.933959, , , 
1712681480.852586, , , , , , -12.026238, , , 
1712681480.883857, , , , , , -12.046246, , , 
1712681480.914033, , , , , , -11.992517, , , 
1712681480.944279, , , , , , -11.879871, , , 
1712681480.974574, , , , , , -11.718574, , , 
1712681481.004850, , , , , , -11.519983, , , 
1712681481.035187, , , , , , -11.326492, , , 
1712681481.065509, , , , , , -11.148303, , , 
1712681481.095786, , , , , , -10.999966, , , 
1712681481.126059, , , , , , -10.894334, , , 
1712681481.156396, , , , , , -10.850364, , , 
1712681481.186718, , , , , , -10.883430, , , 
1712681481.216938, , , , , , -10.965655, , , 
1712681481.247221, , , , , , -11.095910, , , 
1712681481.277545, , , , , , -11.275220, , , 
1712681481.307842, , , , , , -11.452422, , , 
1712681481.337671, , , , , , -11.630223, , , 
1712681481.367668, , , , , , -11.777190, , , 
1712681481.398834, , , , , , -11.881237, , , 
1712681481.429173, , , , , , -11.924756, , , 
1712681481.459412, , , , , , -11.903105, , , 
1712681481.489694, , , , , , -11.810342, , , 
1712681481.520227, , , , , , -11.660402, , , 
1712681481.550358, , , , , , -11.477372, , , 
1712681481.580597, , , , , , -11.279159, , , 
1712681481.610899, , , , , , -11.089396, , , 
1712681481.641262, , , , , , -10.930531, , , 
1712681481.671470, , , , , , -10.809230, , , 
1712681481.701853, , , , , , -10.733078, , , 
1712681481.732068, , , , , , -10.748007, , , 
1712681481.762384, , , , , , -10.825668, , , 
1712681481.792689, , , , , , -10.956617, , , 
1712681481.822301, , , , , , -11.122538, , , 
1712681481.853358, , , , , , -11.306006, , , 
1712681481.883436, , , , , , -11.481808, , , 
1712681481.913896, , , , , , -11.639349, , , 
1712681481.944179, , , , , , -11.752008, , , 
1712681481.974554, , , , , , -11.813044, , , 
1712681482.004856, , , , , , -11.802294, , , 
1712681482.035079, , , , , , -11.721031, , , 
1712681482.065392, , , , , , -11.586946, , , 
1712681482.095531, , , , , , -11.410802, , , 
1712681482.126015, , , , , , -11.212666, , , 
1712681482.156302, , , , , , -11.019490, , , 
1712681482.186600, , , , , , -10.850169, , , 
1712681482.216789, , , , , , -10.715400, , , 
1712681482.246354, , , , , , -10.632812, , , 
1712681482.277605, , , , , , -10.606152, , , 
1712681482.307832, , , , , , -10.643658, , , 
1712681482.337834, , , , , , -10.742559, , , 
1712681482.368071, , , , , , -10.887961, , , 
1712681482.398746, , , , , , -11.061791, , , 
